ល.រ ក្រុមហ៊ុន/សហគ្រាស,ល.រ មុខសញ្ញា,ឈ្មោះក្រុមហ៊ុន/សហគ្រាស,អាស័យដ្ឋានក្រុមហ៊ុន/សហគ្រាស,រាជធានី/ខេត្ត,ឈ្មោះម្ចាស់ក្រុមហ៊ុន/សហគ្រាស,តួនាទី,លេខទូរស័ព្ទ,មុខសញ្ញាជាឧបករណ៍មាត្រាសាស្ត្រ ឬទំនិញវេចខ្ចប់,ឈ្មោះឧបករណ៍មាត្រាសាស្ត្រ/ទំនិញវេចខ្ចប់,ម៉ាក/ម៉ូដែល/លេខស៊េរី,ប្រទេសផលិតដើម,ឆ្នាំផលិត,សមត្ថភាពរង្វាស់រង្វាល់,កម្រិតលម្អៀង/សុក្រឹតភាព,លេខចុះបញ្ជីមាត្រាសាស្ត្រ,ថ្ងៃ/ខែ/ឆ្នាំចុះបញ្ជីមាត្រាសាស្ត្រ,លេខវិញ្ញាបនបត្រ,ថ្ងៃ/ខែ/ឆ្នាំចាប់ផ្ដើមមានសុពលភាព,ស្ថានភាព,Verification
231,20,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ ANGKOR EXTRA STOUT,ANGKOR EXTRA STOUT ដបកែវ,38,2026,ចំនួន ២៤ ដបកែវ ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,21,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ ANGKOR EXTRA STOUT,ANGKOR EXTRA STOUT ដបកែវ,38,2026,ចំនួន ១២ ដបកែវ ចំណុះ ៦៤០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,22,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ CARLSBERG,CARLSBERG ដបកែវ,38,2026,ចំនួន ២៤ ដបកែវ ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,23,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ CARLSBERG,CARLSBERG កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,24,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ BLACK PANTHER,BLACK PANTHER កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,25,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ BLACK PANTHER,BLACK PANTHER កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ៥0០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,26,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ BLACK PANTHER NEW MOON,BLACK PANTHER NEW MOON កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,27,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ BLACK PANTHER NEW MOON,BLACK PANTHER NEW MOON ដបកែវ,38,2026,ចំនួន ២៤ ដបកែវ ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,28,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរSOMERSBY APPLE CIDER,SOMERSBY ដបកែវ,134,2026,ចំនួន ២៤ ដបកែវ ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,29,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ KRONENBOURG 1664 BLANC,Kronenbourg 1664 Blanc ដបកែវ,45,2026,ចំនួន ២៤ ដបកែវ ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,30,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ SINGHA,SINGHA កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,31,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ SINGHA,SINGHA ដបកែវ,38,2026,ចំនួន ២៤ ដបកែវ ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,32,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ SINGHA,SINGHA ដបកែវ,38,2026,ចំនួន ១២ ដបកែវ ចំណុះ ៦៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,33,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ ANGKOR,អង្គរ (Angkor) ធុង,38,2026,ធុង ចំណុះ ២២.៩ ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,34,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ CARLSBERG,CARLSBERG ធុង,38,2026,ធុង ចំណុះ ២២.៩ ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,35,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ CARLSBERG,CARLSBERG ធុង,38,2026,ធុង ចំណុះ ១០ ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,36,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ SINGHA,SINGHA ធុង,38,2026,ធុង ចំណុះ ២២.៩ ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,37,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ ANGKOR SKY,អង្គរ (Angkor Sky) ធុង,38,2026,ធុង ចំណុះ ១០ ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,38,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ស្រាបៀរ ANGKOR SKY,អង្គរ (Angkor Sky) ធុង,38,2026,ធុង ចំណុះ ២២.៩ ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,39,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) PEPSI,PEPSI កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,40,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) PEPSI,PEPSI កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ២៤០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,41,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) PEPSI,PEPSI ដបប្លាស្ទិក,38,2026,ចំនួន ២៤ ដបប្លាស្ទិក ចំណុះ ៣៩០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,42,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) PEPSI,PEPSI ដបប្លាស្ទិក,38,2026,ចំនួន ២៤ ដបប្លាស្ទិក ចំណុះ ៦៦០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,43,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) PEPSI,PEPSI ដបប្លាស្ទិក,38,2026,ចំនួន ៦ ដបប្លាស្ទិក ចំណុះ ១៥០០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,44,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) MIRINDA ORANGE,MIRINDA កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,45,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) MIRINDA ORANGE,MIRINDA កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ២៤០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,46,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) MIRINDA GREEN,MIRINDA កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,47,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) MIRINDA GREEN,MIRINDA កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ២៤០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,48,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) 7UP,7UP កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,49,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) 7UP,7UP កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ២៤០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,50,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) STING Berry Blast,STING កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,51,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) STING Berry Blast,STING កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ២៤០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,52,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) STING Berry Blast,STING ដបប្លាស្ទិក,38,2026,ចំនួន ២៤ ដបប្លាស្ទិក ចំណុះ ៥0០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,53,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) STING Gold Rush,STING កំប៉ុង,38,2026,ចំនួន ២៤ កំប៉ុង ចំណុះ ៣៣០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
231,54,      ស្រាបៀរ កម្ពុជា ខេមប្រ៊ូវ,      អគារលេខ១៨៨១   ផ្លូវសហព័ន្ធរុស្សី   ភូមិតាងួន១   សង្កាត់កាកាបទី១   ខណ្ឌពោធិ៍សែនជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Michiel Marinus Oerlemans,អគ្គនាយកគ្រប់គ្រងក្រុមហ៊ុន,023 987 905,ទំនិញវេចខ្ចប់,ភេសជ្ជៈ(ទឹកក្រូច) STING Gold Rush,STING ដបប្លាស្ទិក,38,2026,ចំនួន ២៤ ដបប្លាស្ទិក ចំណុះ ៥0០ ម.ល,,CMRC20261482,46210.26416,1482.មមជ.2026,2025-07-03,COMPLETED,hKDFVNIhvLyt8o2MXRknsPLmCut2jj5g
